dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Innova,195.000.000,Toyota,Số sàn,Minivan (MPV),120000,2008,Xăng,8,Đã sử dụng,Việt Nam
Transit,490.000.000,Ford,Số sàn,Minivan (MPV),56000,2018,Dầu,16,Đã sử dụng,Việt Nam
County,335.000.000,Hyundai,Số sàn,Van,280000,2011,Dầu,Khác,Đã sử dụng,Việt Nam
RAV4,409.000.000,Toyota,Tự động,SUV / Cross over,70000,2007,Xăng,,Đã sử dụng,Việt Nam
Camry,790.000.000,Toyota,Bán tự động,Sedan,48000,2016,Xăng,5,Đã sử dụng,Việt Nam
Ranger,660.000.000,Ford,Tự động,Pick-up (bán tải),18000,2020,Dầu,5,Đã sử dụng,Thái Lan
Innova,468.000.000,Toyota,Số sàn,SUV / Cross over,71000,2017,Xăng,8,Đã sử dụng,Việt Nam
Sedona,1.070.000.000,Kia,Tự động,Minivan (MPV),27000,2020,Dầu,8,Đã sử dụng,Việt Nam
Accent,375.000.000,Hyundai,Số sàn,Sedan,70000,2018,Xăng,5,Đã sử dụng,Nước khác
Escape,135.000.000,Ford,Tự động,SUV / Cross over,200000,2004,Xăng,5,Đã sử dụng,Việt Nam
Sedona,680.000.000,Kia,Tự động,Minivan (MPV),87000,2015,Xăng,7,Đã sử dụng,Hàn Quốc
Hilux,599.000.000,Toyota,Tự động,Pick-up (bán tải),119000,2017,Dầu,5,Đã sử dụng,
Camry,405.000.000,Toyota,Tự động,Sedan,9,2008,Xăng,5,Đã sử dụng,Việt Nam
HR-V,655.000.000,Honda,Tự động,SUV / Cross over,50000,2019,Xăng,5,Đã sử dụng,Thái Lan
Grand i10,292.000.000,Hyundai,Số sàn,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Corolla Cross,720.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
CR V,910.000.000,Honda,Tự động,SUV / Cross over,21000,2018,Xăng,7,Đã sử dụng,Thái Lan
Xpander,575.000.000,Mitsubishi,Tự động,SUV / Cross over,9000,2020,Xăng,7,Đã sử dụng,Ấn Độ
Morning,36.600.000,Kia,Tự động,Hatchback,18000,2019,Xăng,5,Đã sử dụng,
X Terra,895.000.000,Nissan,Tự động,SUV / Cross over,8000,2019,Xăng,7,Đã sử dụng,Thái Lan
Passat,825.000.000,Volkswagen,Tự động,,90000,2016,,,Đã sử dụng,
Lanos,56.000.000,Daewoo,Số sàn,Sedan,150000,2003,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.199.000.000,Mercedes Benz,Tự động,,20000,2020,,,Đã sử dụng,
Teana,380.000.000,Nissan,Tự động,Sedan,120000,2011,Xăng,5,Đã sử dụng,Đài Loan
Creta,639.000.000,Hyundai,Tự động,SUV / Cross over,100000,2015,Dầu,5,Đã sử dụng,Ấn Độ
Range Rover Evoque,985.000.000,LandRover,Tự động,SUV / Cross over,58000,2012,Xăng,5,Đã sử dụng,Nước khác
K3,455.000.000,Kia,Tự động,Sedan,50000,2015,Xăng,5,Đã sử dụng,Việt Nam
