dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Civic,690.000.000,Honda,Tự động,Sedan,20000,2020,Xăng,5,Đã sử dụng,Thái Lan
XL 7,540.900.000,Suzuki,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nước khác
CX 3,619.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nhật Bản
Vios,495.000.000,Toyota,Tự động,Sedan,1000000,2020,Xăng,5,Đã sử dụng,Nhật Bản
,200.000.000,,,,,,,,Đã sử dụng,
Tucson,785.000.000,Hyundai,Tự động,SUV / Cross over,32000,2018,Xăng,5,Đã sử dụng,Hàn Quốc
3,585.000.000,Mazda,Tự động,Sedan,31000,2019,Xăng,5,Đã sử dụng,Việt Nam
Vios,450.000.000,Toyota,Tự động,Sedan,11500,2018,Xăng,5,Đã sử dụng,Nhật Bản
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Morning,185.000.000,Kia,Số sàn,Hatchback,182072,2018,Xăng,5,Đã sử dụng,
Camry,169.000.000,Toyota,Số sàn,,50000,2000,Dầu,4,Đã sử dụng,
Ranger,1.275.000.000,Ford,Tự động,Pick-up (bán tải),12000,2020,Dầu,5,Đã sử dụng,Thái Lan
Sprinter,250.000.000,Mercedes Benz,Số sàn,Kiểu dáng khác,300000,2010,,16,Đã sử dụng,
Everest,410.000.000,Ford,Tự động,SUV / Cross over,150000,2012,Dầu,7,Đã sử dụng,
Cerato,400.000.000,Kia,Tự động,Sedan,,2016,Xăng,5,Đã sử dụng,Việt Nam
GLC Class,1.788.000.000,Mercedes Benz,Tự động,SUV / Cross over,19000,2019,Xăng,5,Đã sử dụng,Việt Nam
2,390.000.000,Mazda,Bán tự động,Sedan,40000,2016,Xăng,5,Đã sử dụng,Thái Lan
3,555.000.000,Mazda,Tự động,Hatchback,45000,2018,Xăng,5,Đã sử dụng,Việt Nam
Lacetti,100.000.000,Daewoo,Số sàn,Sedan,123,2005,Xăng,5,Đã sử dụng,Nhật Bản
X5,386.000.000,BMW,Tự động,SUV / Cross over,20000,2007,Xăng,5,Đã sử dụng,Mỹ
3,679.000.000,Mazda,Tự động,Hatchback,7000,2019,Xăng,5,Đã sử dụng,Việt Nam
CR V,998.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Aveo,275.000.000,Chevrolet,Tự động,Sedan,63794,2017,Xăng,5,Đã sử dụng,Việt Nam
Sorento,696.000.000,Kia,Tự động,SUV / Cross over,84000,2016,Xăng,7,Đã sử dụng,Việt Nam
E Class,1.780.000.000,Mercedes Benz,Tự động,Sedan,8000,2020,Xăng,5,Đã sử dụng,Việt Nam
Sorento,692.000.000,Kia,Tự động,SUV / Cross over,83800,2016,Dầu,5,Đã sử dụng,Việt Nam
Santa Fe,320.000.000,Hyundai,Tự động,SUV / Cross over,150000,2007,Xăng,7,Đã sử dụng,Hàn Quốc
CD5,45.000.000,Kia,Số sàn,Hatchback,100000,2000,Xăng,5,Đã sử dụng,Việt Nam
EcoSport,568.000.000,Ford,Tự động,SUV / Cross over,10000,2020,Xăng,5,Đã sử dụng,
Sorento,665.000.000,Kia,Tự động,SUV / Cross over,56000,2016,Xăng,7,Đã sử dụng,Việt Nam
Fortuner,580.000.000,Toyota,Tự động,SUV / Cross over,82828,2008,Dầu,8,Đã sử dụng,Thái Lan
Rondo,465.000.000,Kia,Tự động,Minivan (MPV),99000,2016,Xăng,7,Đã sử dụng,
740,59.000.000,Volvo,Số sàn,Sedan,12466,1986,Xăng,,Đã sử dụng,Nước khác
T880,8.500.000,SYM,Số sàn,,120000,2010,Xăng,2,Đã sử dụng,Đài Loan
Spark,195.000.000,Chevrolet,Tự động,Hatchback,78000,2014,Xăng,5,Đã sử dụng,Việt Nam
Spark,195.000.000,Chevrolet,Tự động,Hatchback,78000,2014,Xăng,5,Đã sử dụng,Việt Nam
Rondo,465.000.000,Kia,Tự động,Minivan (MPV),99000,2016,Xăng,7,Đã sử dụng,Việt Nam
Innova,215.000.000,Toyota,Số sàn,Minivan (MPV),19786,2007,Xăng,8,Đã sử dụng,Việt Nam
Vios,395.000.000,Toyota,Tự động,Sedan,24500,2016,Xăng,5,Đã sử dụng,Việt Nam
Pajero,275.000.000,Mitsubishi,Số sàn,Kiểu dáng khác,183000,2002,Xăng,7,Đã sử dụng,Nhật Bản
6,580.000.000,Mazda,Tự động,Sedan,64000,2016,Xăng,5,Đã sử dụng,Nhật Bản
Outlander,875.000.000,Mitsubishi,Tự động,SUV / Cross over,20000,2020,Xăng,7,Đã sử dụng,
Rondo,495.000.000,Kia,Tự động,Kiểu dáng khác,200000,2016,Dầu,7,Đã sử dụng,Việt Nam
C Class,1.198.000.000,Mercedes Benz,Tự động,Sedan,18000,2019,Xăng,5,Đã sử dụng,Việt Nam
Matiz,55.000.000,Daewoo,Số sàn,Kiểu dáng khác,111,2005,Xăng,5,Đã sử dụng,Hàn Quốc
Fiesta,345.000.000,Ford,Tự động,Hatchback,70000,2015,Xăng,5,Đã sử dụng,Việt Nam
Morning,130.000.000,Kia,Số sàn,,366600,2011,,5,Đã sử dụng,
Carens,350.000.000,Kia,Số sàn,SUV / Cross over,29000,2015,Xăng,7,Đã sử dụng,Hàn Quốc
Everest,279.000.000,Ford,Số sàn,SUV / Cross over,200000,2008,Dầu,7,Đã sử dụng,Việt Nam
Tucson,835.000.000,Hyundai,Tự động,SUV / Cross over,18000,2020,Xăng,5,Đã sử dụng,Việt Nam
Accent,325.000.000,Hyundai,Số sàn,Sedan,75000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Ranger,616.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Innova,190.000.000,Toyota,Số sàn,Hatchback,43000,2007,Xăng,7,Đã sử dụng,Nhật Bản
Fortuner,959.000.000,Toyota,Tự động,SUV / Cross over,20000,2019,Dầu,7,Đã sử dụng,Nhật Bản
Innova,550.000.000,Toyota,Số sàn,Minivan (MPV),30000,2016,Xăng,8,Đã sử dụng,Việt Nam
3,679.000.000,Mazda,Tự động,Hatchback,6800,2019,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,275.000.000,Hyundai,Số sàn,Hatchback,46000,2016,Xăng,5,Đã sử dụng,Ấn Độ
Innova,560.000.000,Toyota,Số sàn,Minivan (MPV),75000,2018,Xăng,8,Đã sử dụng,Việt Nam
Vios,360.000.000,Toyota,Tự động,Sedan,100000,2016,Xăng,5,Đã sử dụng,Việt Nam
Grand i10,360.000.000,Hyundai,Tự động,Hatchback,35000,2018,Xăng,5,Đã sử dụng,Việt Nam
K5,869.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Sorento,698.000.000,Kia,Tự động,SUV / Cross over,83000,2016,Dầu,7,Đã sử dụng,Việt Nam
Cerato,596.000.000,Kia,Tự động,Sedan,21000,2019,Xăng,5,Đã sử dụng,Việt Nam
Accent,370.000.000,Hyundai,Tự động,Hatchback,62000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
Accent,398.000.000,Hyundai,Bán tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
Innova,660.000.000,Toyota,Tự động,,16000,2019,,,Đã sử dụng,
Tucson,799.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
CX 5,789.000.000,Mazda,Tự động,SUV / Cross over,19999,2020,Xăng,5,Đã sử dụng,Nhật Bản
Lacetti,150.000.000,Chevrolet,Số sàn,Sedan,111111,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Sunny,398.000.000,Nissan,Tự động,Sedan,58000,2018,Xăng,5,Đã sử dụng,Nhật Bản
Pick up,650.000.000,Isuzu,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Prado,1.820.000.000,Toyota,Tự động,SUV / Cross over,78910,2017,Xăng,8,Đã sử dụng,Nhật Bản
Mondeo,380.000.000,Ford,Tự động,Sedan,78888,2012,Xăng,5,Đã sử dụng,Việt Nam
Santa Fe,1.018.000.000,Hyundai,Bán tự động,SUV / Cross over,,2021,,7,Mới,Việt Nam
Outlander,755.000.000,Mitsubishi,Tự động,SUV / Cross over,11000,2020,Xăng,5,Đã sử dụng,Nhật Bản
Fortuner,650.000.000,Toyota,Tự động,,20000,2018,Xăng,,Đã sử dụng,
CLA Class,1.380.000.000,Mercedes Benz,Tự động,Sedan,7000,2021,Xăng,5,Đã sử dụng,Việt Nam
Hiace,690.000.000,Toyota,Số sàn,Minivan (MPV),116000,2016,Dầu,16,Đã sử dụng,Nhật Bản
Xpander,490.000.000,Mitsubishi,Số sàn,Minivan (MPV),6000,2020,Xăng,5,Đã sử dụng,Nước khác
Sorento,999.000.000,Kia,Tự động,,,2021,,,Mới,
Navara,452.000.000,Nissan,Tự động,Pick-up (bán tải),97000,2017,Dầu,5,Đã sử dụng,Nhật Bản
Sorento,696.000.000,Kia,Tự động,SUV / Cross over,82000,2016,Dầu,7,Đã sử dụng,
APV,255.000.000,Suzuki,Số sàn,SUV / Cross over,36082,2018,Xăng,2,Đã sử dụng,Nhật Bản
Innova,580.000.000,Toyota,Số sàn,Minivan (MPV),69000,2018,Xăng,8,Đã sử dụng,Việt Nam
Santa Fe,495.000.000,Hyundai,Tự động,SUV / Cross over,130000,2009,Dầu,7,Đã sử dụng,Hàn Quốc
Innova,570.000.000,Toyota,Số sàn,SUV / Cross over,46000,2019,Xăng,8,Đã sử dụng,Việt Nam
Dòng khác,130.000.000,Ford,Số sàn,Kiểu dáng khác,20000,2007,Dầu,16,Đã sử dụng,Việt Nam
Carens,269.000.000,Kia,Số sàn,Minivan (MPV),90000,2013,Xăng,7,Đã sử dụng,Việt Nam
Fortuner,778.000.000,Toyota,Số sàn,SUV / Cross over,85000,2017,Dầu,7,Đã sử dụng,
Accent,525.000.000,Hyundai,Tự động,Sedan,6000,2020,Xăng,5,Đã sử dụng,Việt Nam
Tucson,722.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Santa Fe,997.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
BT 50,430.000.000,Mazda,Số sàn,Pick-up (bán tải),86000,2015,Dầu,5,Đã sử dụng,Thái Lan
,440.000.000,,,,,,,,Đã sử dụng,
Camry,645.000.000,Toyota,Tự động,Sedan,120000,2013,Xăng,5,Đã sử dụng,Việt Nam
Dmax,600.000.000,Isuzu,Tự động,Pick-up (bán tải),,2021,Dầu,4,Mới,Nhật Bản
Transit,343.000.000,Ford,Số sàn,Minivan (MPV),87000,2017,Dầu,16,Đã sử dụng,Việt Nam
Ranger,709.000.000,Ford,Tự động,Pick-up (bán tải),92000,2016,Dầu,5,Đã sử dụng,Thái Lan
Lux,681.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Jolie,135.000.000,Mitsubishi,Số sàn,SUV / Cross over,114000,2003,Xăng,7,Đã sử dụng,
Hi lander,13.000.000,Isuzu,Số sàn,SUV / Cross over,150000,2004,Dầu,7,Đã sử dụng,
Fortuner,760.000.000,Toyota,Số sàn,SUV / Cross over,80000,2017,Dầu,7,Đã sử dụng,Nước khác
Avanza,430.000.000,Toyota,Số sàn,Minivan (MPV),23000,2019,Xăng,5,Đã sử dụng,Thái Lan
Vios,515.000.000,Toyota,Tự động,Sedan,9000,2020,Xăng,5,Đã sử dụng,Việt Nam
CR V,695.000.000,Honda,Tự động,SUV / Cross over,52000,2017,Xăng,5,Đã sử dụng,Việt Nam
Gentra,132.000.000,Daewoo,Số sàn,Sedan,120000,2009,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,5.555.555,Toyota,Số sàn,SUV / Cross over,,2010,Dầu,7,Đã sử dụng,Nhật Bản
Innova,238.000.000,Toyota,Số sàn,Minivan (MPV),175000,2006,Xăng,8,Đã sử dụng,Việt Nam
Innova,235.000.000,Toyota,Số sàn,Minivan (MPV),234567,2007,Xăng,8,Đã sử dụng,Việt Nam
Captiva,618.000.000,Chevrolet,Tự động,SUV / Cross over,42000,2018,Xăng,7,Đã sử dụng,Việt Nam
Everest,590.000.000,Ford,Tự động,SUV / Cross over,80000,2015,Dầu,7,Đã sử dụng,Việt Nam
3,532.000.000,Mazda,Tự động,Sedan,40000,2017,Xăng,5,Đã sử dụng,Việt Nam
Q7,2.220.000.000,Audi,Tự động,,60000,2016,,,Đã sử dụng,
Morning,275.000.000,Kia,Số sàn,Hatchback,70000,2019,Xăng,5,Đã sử dụng,Việt Nam
Innova,365.000.000,Toyota,Số sàn,SUV / Cross over,60000,2015,Xăng,8,Đã sử dụng,Việt Nam
K3,455.000.000,Kia,Tự động,Sedan,60000,2016,Xăng,5,Đã sử dụng,Hàn Quốc
Camry,620.000.000,Toyota,Tự động,Sedan,86000,2011,Xăng,5,Đã sử dụng,Mỹ
Elantra,496.000.000,Hyundai,Số sàn,Sedan,46000,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,539.000.000,Kia,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Hàn Quốc
Prado,1.850.000.000,Toyota,Tự động,SUV / Cross over,67000,2017,Xăng,8,Đã sử dụng,Nhật Bản
Everest,1.150.000.000,Ford,Tự động,SUV / Cross over,26000,2019,Dầu,7,Đã sử dụng,Thái Lan
Universe Xpress Luxury,5.500.000.000,Hyundai,Số sàn,Sedan,245000,2018,Dầu,Khác,Đã sử dụng,Việt Nam
Accent,91.817.500,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
Colorado,558.000.000,Chevrolet,Tự động,Pick-up (bán tải),70000,2017,Dầu,5,Đã sử dụng,
Santa Fe,270.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Accent,515.000.000,Hyundai,Tự động,Sedan,11000,2020,Xăng,5,Đã sử dụng,Việt Nam
Vios,210.000.000,Toyota,Số sàn,Sedan,123,2013,,5,Đã sử dụng,Việt Nam
Jolie,148.000.000,Mitsubishi,Số sàn,SUV / Cross over,1,2006,Xăng,8,Đã sử dụng,Nhật Bản
CR V,590.000.000,Honda,Tự động,SUV / Cross over,72000,2013,Xăng,5,Đã sử dụng,Việt Nam
Gentra,110.000.000,Daewoo,Số sàn,Sedan,85000,2007,Xăng,5,Đã sử dụng,Hàn Quốc
XL 7,560.000.000,Suzuki,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
C Class,1.329.000.000,Mercedes Benz,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,890.000.000,Toyota,Tự động,Minivan (MPV),66666,2018,Dầu,7,Đã sử dụng,Nước khác
Civic,710.000.000,Honda,Tự động,Sedan,27000,2019,Xăng,5,Đã sử dụng,
Navara,748.000.000,Nissan,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Sorento,999.000.000,Kia,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Việt Nam
Innova,465.000.000,Toyota,Số sàn,Minivan (MPV),120000,2016,Xăng,8,Đã sử dụng,Việt Nam
3,745.000.000,Mazda,Tự động,Sedan,9600,2020,Xăng,5,Đã sử dụng,Việt Nam
City,385.000.000,Honda,Tự động,Sedan,120000,2016,Xăng,5,Đã sử dụng,
Grand i10,350.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Hàn Quốc
Rush,585.000.000,Toyota,Tự động,SUV / Cross over,15000,2019,,7,Đã sử dụng,Nước khác
Matiz,75.000.000,Daewoo,Số sàn,Hatchback,68000,2004,Xăng,5,Đã sử dụng,
Grand i10,189.000.000,Hyundai,Số sàn,Hatchback,80000,2014,Xăng,5,Đã sử dụng,Ấn Độ
Fortuner,880.000.000,Toyota,Số sàn,SUV / Cross over,31000,2019,Dầu,7,Đã sử dụng,Nhật Bản
Dòng khác,142.000.000,Hãng khác,Tự động,Sedan,75,2010,Xăng,5,Đã sử dụng,Đài Loan
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,5000,2021,Xăng,5,Đã sử dụng,Việt Nam
Accord,468.000.000,Honda,Tự động,Sedan,85000,2011,Xăng,5,Đã sử dụng,Đài Loan
Cerato,544.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Fortuner,460.000.000,Toyota,Tự động,SUV / Cross over,87000,2012,Xăng,7,Đã sử dụng,Nhật Bản
Camry,1.235.000.000,Toyota,Tự động,Sedan,,2021,Xăng,6,Mới,Thái Lan
Elantra,500.000.000,Hyundai,Bán tự động,,70,2016,,5,Đã sử dụng,Việt Nam
Kona,625.000.000,Hyundai,Tự động,SUV / Cross over,20000,2020,Xăng,5,Đã sử dụng,Việt Nam
C Class,900.000.000,Mercedes Benz,Tự động,Sedan,40000,2015,Xăng,5,Đã sử dụng,Đức
Fortuner,600.000.000,Toyota,Tự động,SUV / Cross over,28000,2015,Xăng,7,Đã sử dụng,Việt Nam
Morning,185.000.000,Kia,Tự động,Kiểu dáng khác,90000,2009,Xăng,5,Đã sử dụng,Việt Nam
Camry,378.000.000,Toyota,Tự động,Sedan,100000,2006,Xăng,5,Đã sử dụng,Việt Nam
CR V,1.068.000.000,Honda,Tự động,SUV / Cross over,3900,2020,Xăng,7,Đã sử dụng,Việt Nam
Everest,865.000.000,Ford,Tự động,SUV / Cross over,60000,2016,Dầu,7,Đã sử dụng,Thái Lan
EcoSport,445.000.000,Ford,Tự động,SUV / Cross over,80000,2017,Xăng,5,Đã sử dụng,
Innova,595.000.000,Toyota,Số sàn,Minivan (MPV),75000,2018,Xăng,8,Đã sử dụng,Việt Nam
3 Series,948.000.000,BMW,Tự động,Sedan,60000,2015,Xăng,4,Đã sử dụng,Đức
Hiace,690.000.000,Toyota,Số sàn,Minivan (MPV),116000,2016,Dầu,9,Đã sử dụng,Nhật Bản
Cerato,620.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
323F,41.000.000,Mazda,Số sàn,,2468,1994,Xăng,,Đã sử dụng,Nhật Bản
Morning,190.000.000,Kia,Số sàn,Hatchback,50000,2014,Xăng,5,Đã sử dụng,Việt Nam
Accent,365.000.000,Hyundai,Tự động,Sedan,110000,2013,Xăng,5,Đã sử dụng,Hàn Quốc
Rush,634.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
C Class,1.600.000.000,Mercedes Benz,Tự động,Sedan,17000,2021,Xăng,5,Đã sử dụng,Việt Nam
Camry,805.000.000,Toyota,Tự động,Sedan,78000,2015,Xăng,5,Đã sử dụng,Việt Nam
E Class,1.559.000.000,Mercedes Benz,Tự động,Sedan,29000,2016,Xăng,5,Đã sử dụng,
CX 5,809.000.000,Mazda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nhật Bản
Rondo,đ   ,Kia,Tự động,,1111,2021,Xăng,,Đã sử dụng,
Ranger,275.000.000,Ford,Số sàn,Pick-up (bán tải),50000,2011,Dầu,5,Đã sử dụng,
6,826.000.000,Mazda,Tự động,Sedan,4500,2020,Xăng,5,Đã sử dụng,Việt Nam
i20,295.000.000,Hyundai,Tự động,Hatchback,71000,2012,Xăng,5,Đã sử dụng,Ấn Độ
C Class,1.299.000.000,Mercedes Benz,Tự động,Sedan,11000,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,159.000.000,Hãng khác,Số sàn,,60000,2014,,,Đã sử dụng,
323,40.000.000,Mazda,Số sàn,Sedan,700000,1995,Xăng,5,Đã sử dụng,Nhật Bản
RX,1.239.000.000,Lexus,Tự động,SUV / Cross over,90000,2011,Xăng,5,Đã sử dụng,Mỹ
Panamera,5.450.000.000,Porsche,Tự động,,20000,2018,Xăng,,Đã sử dụng,
6,699.000.000,Mazda,Tự động,Sedan,60000,2018,Xăng,5,Đã sử dụng,
Cerato,586.000.000,Kia,Tự động,Sedan,400000,2019,Xăng,5,Đã sử dụng,Việt Nam
Sportage,475.000.000,Kia,Tự động,SUV / Cross over,130000,2011,Xăng,5,Đã sử dụng,Hàn Quốc
Ranger,629.000.000,Ford,Tự động,Pick-up (bán tải),25000,2019,Dầu,5,Đã sử dụng,Thái Lan
Innova,465.000.000,Toyota,Số sàn,Minivan (MPV),116000,2016,Xăng,8,Đã sử dụng,Việt Nam
Scirocco,580.000.000,Volkswagen,Tự động,,50000,2011,Xăng,,Đã sử dụng,Đức
Camry,484.000.000,Toyota,Tự động,Sedan,12000,2010,Xăng,5,Đã sử dụng,Việt Nam
Morning,158.000.000,Kia,Tự động,Hatchback,178675,2007,Xăng,5,Đã sử dụng,Hàn Quốc
Tucson,790.000.000,Hyundai,Tự động,SUV / Cross over,25000,2019,Xăng,5,Đã sử dụng,Việt Nam
Sorento,790.000.000,Kia,Tự động,SUV / Cross over,69000,2018,Dầu,7,Đã sử dụng,Việt Nam
5 Series,400.000.000,BMW,Tự động,Sedan,150000,2008,Xăng,4,Đã sử dụng,Đức
Ranger,616.000.000,Ford,Số sàn,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Aveo,295.000.000,Chevrolet,Tự động,Sedan,33000,2018,Xăng,5,Đã sử dụng,Việt Nam
GLC,2.399.000.000,Mercedes Benz,Tự động,SUV / Cross over,7000,2020,Xăng,5,Đã sử dụng,Việt Nam
Jolie,160.000.000,Mitsubishi,Số sàn,SUV / Cross over,220000,2006,Xăng,8,Đã sử dụng,
CD5,67.000.000,Kia,Số sàn,,23456,2002,Xăng,5,Đã sử dụng,Việt Nam
Jolie,100.000.000,Mitsubishi,Số sàn,Minivan (MPV),,2003,Xăng,8,Đã sử dụng,Nhật Bản
Corolla Altis,699.000.000,Toyota,Tự động,Sedan,34000,2019,Xăng,5,Đã sử dụng,Việt Nam
Vios,399.000.000,Toyota,Tự động,Sedan,90000,2017,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,380.000.000,Ford,Tự động,Pick-up (bán tải),487600,2011,,5,Đã sử dụng,
K3,454.000.000,Kia,Số sàn,Sedan,79382,2014,Xăng,5,Đã sử dụng,Việt Nam
Ranger,760.000.000,Ford,Tự động,Pick-up (bán tải),530000,2017,Dầu,5,Đã sử dụng,Thái Lan
GLC,2.368.000.000,Mercedes Benz,Tự động,SUV / Cross over,25000,2019,Xăng,5,Đã sử dụng,Việt Nam
Dòng khác,145.000.000,Kia,Số sàn,Coupe (2 cửa),150000,2006,Dầu,2,Đã sử dụng,Hàn Quốc
Corolla Cross,820.000.000,Toyota,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Transit,130.000.000,Ford,Số sàn,Van,999999,2007,Dầu,6,Đã sử dụng,Việt Nam
Hummer,111.111.000,GMC,Số sàn,Sedan,111,2008,Dầu,2,Đã sử dụng,Hàn Quốc
Ranger,865.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Transit,245.000.000,Ford,Số sàn,Minivan (MPV),153000,2012,Dầu,6,Đã sử dụng,Việt Nam
Grand i10,360.000.000,Hyundai,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Crown,75.000.000,Toyota,Số sàn,Sedan,123456,1993,Xăng,5,Đã sử dụng,Nhật Bản
Innova,245.000.000,Toyota,Số sàn,SUV / Cross over,156000,2006,Xăng,8,Đã sử dụng,Nhật Bản
City,460.000.000,Honda,Tự động,Sedan,72000,2016,Xăng,5,Đã sử dụng,Việt Nam
Triton,600.000.000,Mitsubishi,Số sàn,Pick-up (bán tải),,2021,Dầu,5,Mới,Nhật Bản
Xpander,555.000.000,Mitsubishi,Số sàn,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Outlander,950.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Vios,470.000.000,Toyota,Tự động,Sedan,70,2018,Xăng,5,Đã sử dụng,Nhật Bản
Tucson,282.000.000,Hyundai,Tự động,SUV / Cross over,8386,2009,Xăng,5,Đã sử dụng,
Triton,310.000.000,Mitsubishi,Tự động,Pick-up (bán tải),150000,2010,Dầu,5,Đã sử dụng,Thái Lan
Outlander,825.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
5008,1.079.000.000,Peugeot,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Accent,490.000.000,Hyundai,Tự động,Sedan,50000,2019,Xăng,5,Đã sử dụng,Việt Nam
Accent,483.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Dòng khác,97.000.000,Hyundai,Số sàn,Kiểu dáng khác,300000,2004,Dầu,Khác,Đã sử dụng,Hàn Quốc
3008,989.000.000,Peugeot,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Nước khác
6,585.000.000,Mazda,Tự động,Sedan,68000,2016,Xăng,5,Đã sử dụng,Việt Nam
City,470.000.000,Honda,Tự động,Sedan,35000,2019,Xăng,5,Đã sử dụng,Nhật Bản
Accent,505.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Mondeo,250.000.000,Ford,Tự động,Sedan,110000,2008,Xăng,5,Đã sử dụng,Mỹ
3,545.000.000,Mazda,Tự động,Sedan,40000,2018,Xăng,5,Đã sử dụng,
6,585.000.000,Mazda,Tự động,Sedan,68000,2016,Xăng,5,Đã sử dụng,
Forester,969.000.000,Subaru,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
Grand i10,270.000.000,Hyundai,Số sàn,Sedan,65798,2017,Xăng,5,Đã sử dụng,Việt Nam
Fj cruiser,2.200.000.000,Toyota,Tự động,,56789,2013,Xăng,,Đã sử dụng,
Orlando,400.000.000,Chevrolet,Tự động,Minivan (MPV),30000,2014,Xăng,7,Đã sử dụng,Việt Nam
Lacetti,20.000.000,Daewoo,Số sàn,Sedan,123,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Everest,885.000.000,Ford,Tự động,SUV / Cross over,70000,2017,Dầu,7,Đã sử dụng,Thái Lan
6,585.000.000,Mazda,Tự động,Sedan,65000,2016,Xăng,5,Đã sử dụng,
Vios,352.000.000,Toyota,Số sàn,Sedan,80000,2017,Xăng,5,Đã sử dụng,Việt Nam
Ertiga,449.900.000,Suzuki,Tự động,Minivan (MPV),,2021,,7,Mới,Nhật Bản
Grand i10,345.000.000,Hyundai,Tự động,Sedan,50115,2017,Xăng,5,Đã sử dụng,Việt Nam
Rondo,450.000.000,Kia,Tự động,Minivan (MPV),212000,2016,Xăng,7,Đã sử dụng,Việt Nam
Nubira,72.000.000,Daewoo,Số sàn,Hatchback,250,2002,Xăng,5,Đã sử dụng,Việt Nam
Grand Starex,666.000.000,Hyundai,Số sàn,Van,78000,2017,Dầu,9,Đã sử dụng,Hàn Quốc
Dòng khác,310.000.000,Hyundai,Tự động,Hatchback,10,2015,,5,Đã sử dụng,Ấn Độ
C Class,1.599.000.000,Mercedes Benz,Tự động,Sedan,19000,2021,Xăng,5,Đã sử dụng,Việt Nam
Fortuner,929.000.000,Toyota,Tự động,SUV / Cross over,19000,2019,Dầu,7,Đã sử dụng,
Rondo,468.000.000,Kia,Tự động,SUV / Cross over,40000,2016,Xăng,7,Đã sử dụng,Việt Nam
Dòng khác,222.222.000,Tesla,Tự động,,11000,2009,,,Đã sử dụng,
Xpander,555.000.000,Mitsubishi,Số sàn,Minivan (MPV),,2021,Xăng,7,Mới,Nhật Bản
,1.000.000.000,,,,,,,,Đã sử dụng,
Kona,618.000.000,Hyundai,Tự động,SUV / Cross over,32000,2019,Xăng,5,Đã sử dụng,Việt Nam
