	count	mean	std	min	25%	50%	75%	max
dong_xe_Cefiro	41601.0	0.00014422730222831182	0.012008745447215741	0.0	0.0	0.0	0.0	1.0
dong_xe_Celerio	41601.0	0.0006730607437321219	0.02593499376175919	0.0	0.0	0.0	0.0	1.0
dong_xe_Celica	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Century	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Cerato	41601.0	0.016730367058484172	0.1282608955230224	0.0	0.0	0.0	0.0	1.0
dong_xe_Challenger	41601.0	0.00016826518593303046	0.012970771639182789	0.0	0.0	0.0	0.0	1.0
dong_xe_Charade	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_Chevyvan	41601.0	2.4037883704718638e-05	0.004902844450389858	0.0	0.0	0.0	0.0	1.0
dong_xe_Ciaz	41601.0	0.0008172880459604336	0.028576908798904364	0.0	0.0	0.0	0.0	1.0
dong_xe_Cielo	41601.0	0.00021634095334246772	0.01470711900111571	0.0	0.0	0.0	0.0	1.0
dong_xe_Citivan	41601.0	0.0007932501622557151	0.028153862431702162	0.0	0.0	0.0	0.0	1.0
dong_xe_City	41601.0	0.013124684502776375	0.1138100984794454	0.0	0.0	0.0	0.0	1.0
dong_xe_Civic	41601.0	0.011562222061969664	0.10690562102812219	0.0	0.0	0.0	0.0	1.0
dong_xe_Click	41601.0	0.0003124924881613423	0.017674907244380367	0.0	0.0	0.0	0.0	1.0
dong_xe_Colorado	41601.0	0.0024999399052907383	0.049937462392844655	0.0	0.0	0.0	0.0	1.0
dong_xe_Colt	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_Continental	41601.0	0.0001923030696377491	0.01386617145964042	0.0	0.0	0.0	0.0	1.0
dong_xe_Contour	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Cooper	41601.0	0.0010817047667123385	0.03287188245144158	0.0	0.0	0.0	0.0	1.0
